imageName longitude latitude altitude Omega Phi Kappa
frame0379.jpg 8.68170603 47.45020467 575.41324749 -3.66283360 2.57320391 138.33240239
frame0393.jpg 8.68170637 47.45020354 575.62400952 -5.75053078 -0.26687929 139.69287011
frame0407.jpg 8.68170737 47.45020317 575.77480268 -3.61615214 -1.29578829 139.53200521
frame0421.jpg 8.68170771 47.45020285 576.17294481 -5.05384682 -0.78511632 139.58754478
frame0435.jpg 8.68170735 47.45020317 576.91922885 -5.15023763 0.42852159 139.57119500
frame0449.jpg 8.68170653 47.45020357 577.59001280 -5.99310630 1.54512727 138.15669943
frame0463.jpg 8.68170561 47.45020421 578.18284876 -5.93474793 1.85219137 140.16696544
frame0477.jpg 8.68170466 47.45020489 578.76018119 -6.13687539 2.61704236 138.91997200
frame0491.jpg 8.68170411 47.45020541 579.30430355 -6.16695411 2.82576583 139.00049475
frame0505.jpg 8.68170432 47.45020591 579.86843898 -6.52740942 2.05023836 139.72038638
frame0519.jpg 8.68170510 47.45020657 580.36440335 -5.55597090 0.99666885 139.96571082
frame0533.jpg 8.68170530 47.45020704 580.86332285 -6.23181593 2.50403994 139.03906203
frame0547.jpg 8.68170545 47.45020747 581.38802001 -6.84397388 2.32864877 139.02558251
frame0561.jpg 8.68170582 47.45020778 581.93604450 -7.03534101 1.22046166 139.18834247
frame0575.jpg 8.68170608 47.45020816 582.47513179 -7.10340161 1.60897050 139.74440880
frame0589.jpg 8.68170620 47.45020878 583.10146496 -6.38768296 1.89915274 139.31606700
frame0603.jpg 8.68170571 47.45020844 583.45759833 -6.15787478 2.39791456 110.41976027
frame0617.jpg 8.68170545 47.45020673 583.60756532 -13.40819972 3.41419813 78.31111971
frame0631.jpg 8.68170372 47.45020764 584.00151269 -9.75145339 -1.13069688 82.39810164
frame0645.jpg 8.68169717 47.45020952 584.34657925 -10.73708312 -1.61522699 82.22977198
frame0659.jpg 8.68168751 47.45021178 584.50698194 -9.17215781 -0.87448120 82.24740639
frame0673.jpg 8.68167512 47.45021366 584.55370228 -8.30283431 1.12487069 81.16721137
frame0687.jpg 8.68166258 47.45021459 584.47365922 -8.82191585 0.50967789 80.94276165
frame0701.jpg 8.68165063 47.45021498 584.26698976 -8.02092524 0.91631310 82.39983715
frame0715.jpg 8.68163910 47.45021504 584.23713849 -8.68458435 2.04048130 82.71409470
frame0729.jpg 8.68162884 47.45021515 584.38093202 -9.39993043 2.44583391 81.63431851
frame0743.jpg 8.68161995 47.45021544 584.48377925 -10.20492143 2.21073477 82.08052592
frame0757.jpg 8.68161239 47.45021637 584.43003786 -9.40828941 0.82246542 81.25184355
frame0771.jpg 8.68160494 47.45021747 584.35066685 -8.84647074 1.15742747 81.72628898
frame0785.jpg 8.68159910 47.45021794 584.33507643 -8.08006445 3.36637091 96.40192228
frame0799.jpg 8.68159690 47.45021799 584.29753232 -8.07661520 5.28585980 138.81759910
frame0813.jpg 8.68159571 47.45021640 584.02515346 -0.28017586 -3.37976954 136.72258218
frame0827.jpg 8.68159158 47.45021045 583.74410361 -5.25882825 -1.07171375 134.64999866
frame0841.jpg 8.68158611 47.45020337 583.51111969 -5.86610466 -0.45740999 136.57041964
frame0855.jpg 8.68157947 47.45019613 583.42496637 -7.43969554 1.34403286 135.64332036
frame0869.jpg 8.68157347 47.45018931 583.44132847 -9.56279236 -0.26403979 137.64312894
frame0883.jpg 8.68156691 47.45018403 583.49855929 -8.46306022 0.83270200 136.49216492
frame0897.jpg 8.68156050 47.45017997 583.55855748 -7.77150918 1.46982082 135.92662814
frame0911.jpg 8.68155483 47.45017669 583.63320211 -6.69946099 0.30511352 136.22787244
frame0925.jpg 8.68154894 47.45017356 583.68613858 -5.95261071 1.46395262 136.06896754
frame0939.jpg 8.68154406 47.45016961 583.72116527 -7.62093350 -1.26111822 135.30205532
frame0953.jpg 8.68153856 47.45016552 583.79739236 -5.37989124 0.31385979 138.00357588
frame0969.jpg 8.68153147 47.45016053 583.92129884 -6.99754625 0.51269720 136.19087947
frame0983.jpg 8.68152561 47.45015625 584.02381410 -6.12630883 -0.23570882 137.12012045
frame0997.jpg 8.68151985 47.45015188 584.19262720 -5.88424204 -0.45606127 136.59171642
frame1011.jpg 8.68151379 47.45014723 584.30580588 -6.48507174 0.13221259 136.46738055
frame1025.jpg 8.68150751 47.45014256 584.32805547 -6.05972328 0.87025727 135.52954575
frame1039.jpg 8.68150140 47.45013786 584.31432112 -5.46348630 0.48349481 136.53331112
frame1053.jpg 8.68149527 47.45013317 584.24089224 -5.45317883 0.13581581 136.16831929
frame1067.jpg 8.68148918 47.45012842 584.14563398 -5.08681727 0.70402871 136.74981555
frame1081.jpg 8.68148350 47.45012349 584.06080519 -5.58054555 -0.03295538 136.15153282
frame1095.jpg 8.68147813 47.45011819 583.99568592 -7.28994195 -0.97846873 137.62694260
frame1109.jpg 8.68147258 47.45011344 584.07800608 -6.01353721 -0.94071897 136.71964925
frame1123.jpg 8.68146663 47.45010896 584.37187914 -5.74741758 -0.65788825 136.51673199
frame1137.jpg 8.68146058 47.45010479 584.62130112 -5.66974786 -0.78095181 135.99797355
frame1151.jpg 8.68145477 47.45010055 584.74066615 -4.80036826 -0.79263083 135.77102705
frame1165.jpg 8.68144929 47.45009588 584.77703175 -6.73040023 -2.62774139 138.07312559
frame1179.jpg 8.68144311 47.45009150 584.73787391 -4.77592435 -2.05500757 136.07835977
frame1193.jpg 8.68143613 47.45008689 584.75547871 -5.07799267 0.37278065 136.68214002
frame1207.jpg 8.68142964 47.45008213 584.84714488 -4.61949311 -0.65114348 135.72880077
frame1223.jpg 8.68142247 47.45007647 584.94695533 -5.56397045 -0.31674839 137.72907895
frame1237.jpg 8.68141625 47.45007159 585.03045382 -6.89802120 -0.75997795 136.76756402
frame1255.jpg 8.68140837 47.45006559 585.03332196 -5.69701236 -0.37551387 135.70207283
frame1269.jpg 8.68140236 47.45006062 585.00691690 -6.21237370 -0.29498063 137.60271086
frame1283.jpg 8.68139601 47.45005581 584.95950377 -5.49316602 0.32485684 137.68797051
frame1297.jpg 8.68138928 47.45005111 584.91023631 -4.89744034 1.27676064 136.11496607
frame1311.jpg 8.68138307 47.45004604 584.75720443 -5.99100528 0.28415004 135.28662862
frame1325.jpg 8.68137706 47.45004108 584.54826212 -4.76970382 0.74855215 136.34446035
frame1339.jpg 8.68137122 47.45003617 584.39224474 -5.09614489 1.04202322 136.98313366
frame1353.jpg 8.68136515 47.45003125 584.32742247 -6.24061839 1.33438161 137.16352719
frame1367.jpg 8.68135925 47.45002649 584.31838450 -6.26558394 0.80539663 136.47094751
frame1381.jpg 8.68135348 47.45002191 584.32208248 -6.72218169 0.38599092 136.75125110
frame1395.jpg 8.68134756 47.45001752 584.31667112 -6.25180302 0.48583013 137.61640974
frame1409.jpg 8.68134150 47.45001314 584.32969824 -6.51073171 0.11758866 137.41128611
frame1423.jpg 8.68133520 47.45000890 584.30541241 -5.51390025 0.10835344 136.71505122
frame1437.jpg 8.68132887 47.45000457 584.25925209 -5.50538075 -0.54140084 136.08244809
frame1453.jpg 8.68132220 47.44999940 584.37987507 -6.78997573 -1.45461090 135.45251657
